timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676631475443,623,HTTP Request,200,OK,Thread Group 1-1,text,true,,1718,120,1,1,https://reqres.in/api/users,613,0,520
1676631480373,230,HTTP Request,200,OK,Thread Group 1-2,text,true,,1710,120,1,1,https://reqres.in/api/users,229,0,154
1676631485368,227,HTTP Request,200,OK,Thread Group 1-3,text,true,,1726,120,1,1,https://reqres.in/api/users,227,0,153
1676631490384,220,HTTP Request,200,OK,Thread Group 1-4,text,true,,1718,120,1,1,https://reqres.in/api/users,220,0,138
1676631495368,214,HTTP Request,200,OK,Thread Group 1-5,text,true,,1710,120,1,1,https://reqres.in/api/users,214,0,143
1676631500368,228,HTTP Request,200,OK,Thread Group 1-6,text,true,,1710,120,1,1,https://reqres.in/api/users,228,0,153
1676631505368,248,HTTP Request,200,OK,Thread Group 1-7,text,true,,1716,120,1,1,https://reqres.in/api/users,247,0,169
1676631510369,227,HTTP Request,200,OK,Thread Group 1-8,text,true,,1718,120,1,1,https://reqres.in/api/users,227,0,150
1676631515367,222,HTTP Request,200,OK,Thread Group 1-9,text,true,,1716,120,1,1,https://reqres.in/api/users,221,0,148
1676631520367,234,HTTP Request,200,OK,Thread Group 1-10,text,true,,1714,120,1,1,https://reqres.in/api/users,234,0,155
1676631525369,241,HTTP Request,200,OK,Thread Group 1-11,text,true,,1712,120,1,1,https://reqres.in/api/users,241,0,159
1676631530368,237,HTTP Request,200,OK,Thread Group 1-12,text,true,,1714,120,1,1,https://reqres.in/api/users,237,0,158
1676631535369,284,HTTP Request,200,OK,Thread Group 1-13,text,true,,1705,120,1,1,https://reqres.in/api/users,284,0,155
1676631540368,210,HTTP Request,200,OK,Thread Group 1-14,text,true,,1712,120,1,1,https://reqres.in/api/users,209,0,136
1676631545364,221,HTTP Request,200,OK,Thread Group 1-15,text,true,,1712,120,1,1,https://reqres.in/api/users,221,0,146
1676631550359,224,HTTP Request,200,OK,Thread Group 1-16,text,true,,1714,120,1,1,https://reqres.in/api/users,224,0,151
1676631555361,228,HTTP Request,200,OK,Thread Group 1-17,text,true,,1714,120,1,1,https://reqres.in/api/users,227,0,149
1676631560361,223,HTTP Request,200,OK,Thread Group 1-18,text,true,,1726,120,1,1,https://reqres.in/api/users,223,0,145
1676631565361,235,HTTP Request,200,OK,Thread Group 1-19,text,true,,1712,120,1,1,https://reqres.in/api/users,235,0,158
1676631570362,234,HTTP Request,200,OK,Thread Group 1-20,text,true,,1710,120,1,1,https://reqres.in/api/users,234,0,150
